seg_id,seg_atd,seg_lon,seg_lat,seg_lon_beg,seg_lat_beg,seg_lon_end,seg_lat_end,seg_npts,seg_ca_pts,seg_te_pts,h_ca_min,h_ca_mean,h_ca_max,h_ca_std,h_ca_p50,h_ca_p98,h_te_min,h_te_mean,h_te_max,h_te_interp,h_te_std,msw_flag,night_flag
526,16515,23.7870009040329,-13.5670596132464,23.7870146669515,-13.5671945235188,23.7869871411143,-13.566924702974,28,20,8,10.8901636222299,13.3541312315858,16.4423290032325,1.828485850612,13.283797316992,16.4423290032325,1113.00061035156,1113.2048034668,1113.38940429688,1112.99802243354,0.137334220669719,2,1
527,16545,23.7869733782112,-13.5667897926986,23.7869871411143,-13.566924702974,23.7869596153081,-13.5666548824233,33,21,12,3.78979720147709,9.50236279114515,14.0618138092966,3.9238584949693,10.3884188989045,14.0618138092966,1113.11791992188,1113.33389282227,1113.5537109375,1113.09689230973,0.165458053977028,2,1
528,16575,23.7869458524206,-13.566519972145,23.7869596153081,-13.5666548824233,23.786932089533,-13.5663850618668,36,33,3,2.05183584554584,11.5150650452803,16.5785160698176,3.5936162912376,11.7353320745775,16.5278935357702,1113.03503417969,1113.1903889974,1113.45495605469,1113.03659027419,0.230280438231267,2,1
529,16605,23.786918326661,-13.5662501515856,23.786932089533,-13.5663850618668,23.786904563789,-13.5661152413044,40,23,17,2.10768786674407,9.49098032005973,13.6187865285808,3.0752353282474,9.89897702180338,13.6187865285808,1113.07202148438,1113.29337086397,1113.58715820312,1113.12532171775,0.138941179384465,2,1
530,16635,23.7868908009326,-13.5659803310204,23.786904563789,-13.5661152413044,23.7868770380761,-13.5658454207363,42,31,11,2.73710710977139,10.3252476397523,15.7845759074585,3.21953661341633,10.3300440979754,15.7810164700617,1113.15014648438,1113.3359153054,1113.51733398438,1113.17042043591,0.135973318556959,2,1
531,16665,23.7868632752352,-13.5657105104493,23.7868770380761,-13.5658454207363,23.7868495123943,-13.5655756001623,47,33,14,2.13588752085138,12.0465741343275,16.2080545941042,3.18282683878643,12.3911394190866,16.1592686723407,1113.04150390625,1113.34661865234,1113.56481933594,1113.17583581509,0.173936002618226,2,1
532,16695,23.7868357495689,-13.5654406898724,23.7868495123943,-13.5655756001623,23.7868219867435,-13.5653057795825,44,29,15,3.27071749278707,10.5000812565398,14.3636750356177,2.59240173425182,11.1105495403773,14.3636750356177,1112.95251464844,1113.1525797526,1113.35571289062,1112.94122494908,0.128787257993458,2,1
533,16725,23.7868082239336,-13.5651708692897,23.7868219867435,-13.5653057795825,23.7867944611238,-13.5650359589969,33,18,15,7.22631923158406,12.2833339282237,16.2243950884613,2.4993297929258,12.2230121189184,16.2243950884613,1112.97021484375,1113.18333333333,1113.40576171875,1112.93765322624,0.127460612892637,2,1
534,16755,23.7867806983295,-13.5649010487012,23.7867944611238,-13.5650359589969,23.7867669355352,-13.5647661384055,32,17,15,7.30109217135032,10.4358171180186,13.3801094544374,1.83156759521553,10.5568638530517,13.3801094544374,1112.99694824219,1113.11360677083,1113.37670898438,1112.98818388868,0.115114603923567,2,1
535,16785,23.7867531727564,-13.5646312281069,23.7867669355352,-13.5647661384055,23.7867394099777,-13.5644963178082,44,32,12,5.76066597262593,12.4686926853994,18.8607220424119,4.32617725535326,11.8181493234365,18.8454041958793,1113.13525390625,1113.26150512695,1113.49938964844,1113.14925499713,0.0959142239337555,2,1
536,16815,23.7867256472144,-13.5643614075067,23.7867394099777,-13.5644963178082,23.7867118844512,-13.5642264972052,33,19,14,5.28136219518751,8.70763217856531,14.97837126491,3.15828921205096,7.65559940048763,14.97837126491,1113.00329589844,1113.18161446708,1113.47521972656,1113.0002973536,0.163074390584708,2,1
537,16845,23.7866981217035,-13.5640915869007,23.7867118844512,-13.5642264972052,23.7866843589558,-13.5639566765963,56,47,9,3.74605195342178,12.4064352298354,15.8360977320049,2.32778636076916,12.5846188776667,15.8255926393605,1113.16125488281,1113.33059353299,1113.54870605469,1113.15160637774,0.140622520130568,2,1
538,16875,23.7866705962237,-13.5638217662889,23.7866843589558,-13.5639566765963,23.7866568334915,-13.5636868559816,38,29,9,8.46252062256053,12.7344898320071,16.1534745289184,2.5030003157125,12.4896107521317,16.1469844031324,1112.94787597656,1113.09487575955,1113.28051757812,1112.9454148721,0.107998768905159,2,1
539,16905,23.7866430707749,-13.5635519456713,23.7866568334915,-13.5636868559816,23.7866293080583,-13.563417035361,45,38,7,7.52812836455837,13.0667933918001,17.7278776045866,3.25502872421672,13.1169860778145,17.6548380833395,1113.06811523438,1113.24553571429,1113.38745117188,1113.01744881073,0.102823471122239,2,1
540,16935,23.7866155453572,-13.5632821250479,23.7866293080583,-13.563417035361,23.7866017826562,-13.5631472147347,45,41,4,3.35587884837992,14.6464529199352,19.221189491966,3.5973455431538,15.2327396275062,19.181429305321,1113.14709472656,1113.20758056641,1113.31945800781,1113.06515854928,0.0768028599478928,2,1
541,16965,23.7865880199706,-13.5630123044186,23.7866017826562,-13.5631472147347,23.7865742572851,-13.5628773941025,42,22,20,2.04026372876729,12.4074047560609,18.3932407091295,5.9549397635449,15.8026836238794,18.3932407091295,1113.05517578125,1113.26002197266,1113.51477050781,1113.10448816279,0.147562129341646,2,1
542,16995,23.7865604946151,-13.5627424837835,23.7865742572851,-13.5628773941025,23.7865467319451,-13.5626075734645,43,22,21,7.73020152243294,12.4135531003511,15.9546220715981,2.72637598921956,13.3912788913119,15.9546220715981,1113.05187988281,1113.13981701079,1113.27673339844,1113.05166691261,0.0581609313945789,2,1
